hcp_id,name,specialty,location,experience,rating,fee,degree_qual,kol_score,is_kol,kol_rank,latitude,longitude,degree_centrality,betweenness_centrality
164,Akram Khan M D,general-physician,Whitefield,7,3.8,750,MBBS,0.3664262782049315,0,922,12.970189,77.7279954,0.0024711696869851732,1.8309988098507738e-07
2041,Bhupendra Chaudhry,psychiatrist,Koramangala,33,4.0,1500,"MBBS, M.D. (Psychiatry)",0.36599063322535974,0,923,12.93393,77.61605,0.0024711696869851732,0.0
2042,Bhupendra Chaudhry,psychiatrist,Koramangala,33,4.0,1500,"MBBS, M.D. (Psychiatry)",0.36599063322535974,0,923,12.95959,77.64937,0.0024711696869851732,0.0
1911,Darshana Bhosale,pediatrician,Banashankari,6,3.5,900,"MBBS, MD - Pediatrics",0.36562787206530306,0,925,12.90786,77.56493,0.0013728720483250961,0.0
1577,Poonam Chandra Awatare,neurologist,Bangalore,8,5.0,600,"MBBS, DNB - General Medicine, DNB - Neurology",0.36551833441548875,0,926,12.9912,77.7232,0.0016474464579901153,0.0
949,Manohar Babu K V,orthopedist,Bangalore,24,5.0,1000,"MBBS, MS - Orthopaedics",0.36542887987891814,0,927,12.9269242,77.4786841,0.0027457440966501922,0.000167049681290692
2404,Surya Kant Choubey,urologist,Bangalore,33,4.0,900,"MBBS, MS - General Surgery, MCh - Urology, DNB - Urology/Genito - Urinary Surgery",0.36536983668431033,0,928,12.95959,77.64937,0.0024711696869851732,4.327815368738193e-06
839,Ramniwas Jain,orthopedist,Bangalore,41,4.5,700,"MBBS, MS - Orthopaedics",0.365136760063589,0,929,13.022,77.6365,0.0027457440966501922,0.00020797687751982302
2024,R Bhavya Sree,psychiatrist,Bangalore,9,3.8,1200,"MBBS, M.D. (Psychiatry)",0.3649930547288457,0,930,12.835339746435,77.693793672211,0.0027457440966501922,1.9120925053361195e-05
676,Lakshmi,dermatologist,Koramangala,11,3.5,600,"MBBS, MD - Dermatology , Venereology & Leprosy",0.3649699109680199,0,931,12.9423,77.62142,0.0027457440966501922,2.6963637235540556e-06
3004,Rupali Wankhede Panpate,dentist,Kasturi Nagar,20,5.0,400,BDS,0.36484321311905504,0,932,13.009877,77.657373,0.0002745744096650192,0.0
1212,Latha Shankar,gynecologist,Bangalore,31,5.0,700,"MBBS, DGO",0.36465631142955734,0,933,13.0620359,77.5106743,0.0027457440966501922,0.00015011861110314078
533,Haritha Ravipati,dermatologist,Ulsoor,13,5.0,600,"MBBS, MD - Dermatology , Venereology & Leprosy",0.36411120339638864,0,934,12.99080221275,77.619303292273,0.0,0.0
3011,Krishnanand,dentist,Bangalore,14,5.0,200,BDS,0.36397222790401096,0,935,12.948174254849,77.705931046421,0.0027457440966501922,0.0002788095835450054
3373,Pinky Devi Ayyappan,plastic-surgeon,Jayanagar,21,5.0,1000,"MBBS, MS - General Surgery, MCh - Plastic Surgery, DNB - General Surgery",0.36394562017364984,0,936,12.923159702538088,77.59197670966387,0.0016474464579901153,0.0
2026,Prerna Keshari,psychiatrist,Whitefield,9,5.0,1800,"MBBS, M.D. (Psychiatry), DNB - Psychiatry",0.36385098624484097,0,937,12.957223017405,77.735436968726,0.0019220208676551346,0.0
2008,Manasvi M,psychiatrist,Yelahanka,8,3.8,1000,"MBBS, M.D. (Psychiatry)",0.3637450266785621,0,938,13.099136,77.58614,0.0016474464579901153,0.0
2963,Shantipriya,dentist,Domlur,35,4.5,300,BDS,0.3636233625122647,0,939,12.965625246555,77.637054920197,0.001098297638660077,0.0
11,Pradeep C,general-physician,KR Puram,22,3.5,600,"MBBS, MD - General Medicine",0.3634713941390082,0,940,13.0160183,77.7007569,0.001098297638660077,0.0
